[2024-05-23T15:33:00.346+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.346+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.346+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.346+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.346+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.346+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.346+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.346+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.346+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.346+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.346+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.347+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.347+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.347+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.347+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.347+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.347+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.347+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.347+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.347+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.347+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
[2024-05-23T15:33:00.347+0000] {logging_mixin.py:188} INFO - Столбец kickoff_millis содержит значение больше 2147483647
