iter	Passed	Remaining
726	38076	14298
727	38126	14244
728	38178	14192
729	38228	14139
730	38284	14088
731	38343	14038
732	38399	13987
733	38450	13934
734	38505	13882
735	38558	13830
736	38614	13779
737	38666	13727
738	38717	13674
739	38768	13621
740	38818	13568
741	38870	13515
742	38923	13463
743	38976	13411
744	39029	13359
745	39079	13305
746	39130	13252
747	39183	13200
748	39235	13148
749	39285	13095
750	39337	13042
751	39388	12989
752	39440	12937
753	39491	12884
754	39541	12831
755	39593	12778
756	39645	12726
757	39699	12674
758	39750	12621
759	39801	12568
760	39852	12516
761	39903	12463
762	39954	12410
763	40005	12357
764	40057	12305
765	40108	12252
766	40158	12199
767	40210	12146
768	40260	12093
769	40312	12041
770	40362	11988
771	40414	11935
772	40466	11883
773	40517	11830
774	40568	11777
775	40620	11725
776	40670	11672
777	40724	11620
778	40777	11568
779	40828	11515
780	40880	11463
781	40932	11410
782	40982	11357
783	41033	11305
784	41086	11252
785	41139	11200
786	41189	11147
787	41240	11095
788	41291	11042
789	41343	10990
790	41394	10937
791	41445	10884
792	41496	10832
793	41548	10779
794	41599	10726
795	41649	10674
796	41701	10621
797	41752	10568
798	41807	10517
799	41861	10465
800	41912	10412
801	41963	10359
802	42014	10307
803	42064	10254
804	42116	10202
805	42167	10149
806	42217	10096
807	42269	10044
808	42320	9991
809	42371	9938
810	42422	9886
811	42472	9833
812	42523	9780
813	42573	9728
814	42624	9675
815	42675	9622
816	42727	9570
817	42776	9517
818	42828	9465
819	42881	9413
820	42932	9360
821	42981	9307
822	43031	9254
823	43082	9202
824	43133	9149
825	43182	9096
826	43234	9044
827	43285	8991
828	43336	8939
829	43387	8886
830	43438	8833
831	43487	8781
832	43537	8728
833	43587	8675
834	43637	8622
835	43688	8570
836	43738	8517
837	43788	8465
838	43837	8412
839	43888	8359
840	43942	8307
841	43994	8255
842	44044	8202
843	44094	8150
844	44143	8097
845	44193	8044
846	44244	7992
847	44294	7939
848	44343	7886
849	44393	7834
850	44442	7781
851	44493	7728
852	44543	7676
853	44593	7623
854	44642	7570
855	44692	7518
856	44743	7465
857	44793	7413
858	44842	7360
859	44893	7308
860	44942	7255
861	44995	7203
862	45047	7151
863	45097	7098
864	45146	7046
865	45197	6993
866	45248	6941
867	45298	6888
868	45355	6837
869	45418	6786
870	45471	6734
871	45523	6682
872	45577	6630
873	45631	6578
874	45681	6525
875	45732	6473
876	45782	6421
877	45833	6368
878	45882	6316
879	45932	6263
880	45982	6210
881	46031	6158
882	46085	6106
883	46135	6053
884	46192	6002
885	46245	5950
886	46298	5898
887	46348	5845
888	46399	5793
889	46449	5741
890	46500	5688
891	46550	5636
892	46601	5583
893	46651	5531
894	46702	5479
895	46753	5426
896	46803	5374
897	46853	5321
898	46904	5269
899	46954	5217
900	47004	5164
901	47054	5112
902	47108	5060
903	47161	5008
904	47212	4955
905	47261	4903
906	47311	4851
907	47361	4798
908	47411	4746
909	47462	4694
910	47512	4641
911	47562	4589
912	47613	4537
913	47663	4484
914	47713	4432
915	47763	4380
916	47813	4327
917	47862	4275
918	47913	4223
919	47962	4170
920	48012	4118
921	48062	4066
922	48112	4013
923	48162	3961
924	48218	3909
925	48269	3857
926	48319	3805
927	48369	3752
928	48420	3700
929	48469	3648
930	48520	3596
931	48570	3543
932	48620	3491
933	48671	3439
934	48721	3387
935	48772	3334
936	48821	3282
937	48871	3230
938	48922	3178
939	48972	3125
940	49023	3073
941	49073	3021
942	49122	2969
943	49172	2916
944	49222	2864
945	49277	2812
946	49327	2760
947	49376	2708
948	49427	2656
949	49477	2604
950	49527	2551
951	49577	2499
952	49627	2447
953	49679	2395
954	49729	2343
955	49779	2291
956	49828	2238
957	49877	2186
958	49928	2134
959	49978	2082
960	50028	2030
961	50079	1978
962	50129	1926
